Programatic Name,OID Name,OID Numeric,Index Name
st_sys_status,lgpSysState,.1.3.6.1.4.1.476.1.42.3.7.2.2,
st_sys_status,lgpSysState,.1.3.6.1.4.1.476.1.42.3.7.2.2,
st_sys_status,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4123
str_sys_modelNumber,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4240
st_sys_operating,lgpEnvStateSystem,.1.3.6.1.4.1.476.1.42.3.4.3.1,
st_sys_operating,lgpEnvStateSystem,.1.3.6.1.4.1.476.1.42.3.4.3.1,
st_sys_operating,lgpEnvStateSystem,.1.3.6.1.4.1.476.1.42.3.4.3.1,
st_sys_operating,lgpEnvStateSystem,.1.3.6.1.4.1.476.1.42.3.4.3.1,
st_sys_operating,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4706
st_sys_controlMode,lgpEnvStateOperatingMode,.1.3.6.1.4.1.476.1.42.3.4.3.15,
st_sys_controlMode,lgpEnvStateOperatingMode,.1.3.6.1.4.1.476.1.42.3.4.3.15,
st_sys_controlMode,lgpEnvStateOperatingMode,.1.3.6.1.4.1.476.1.42.3.4.3.15,
st_sys_controlMode,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4707
st_sys_onOffCtrl,lgpSysControlOperationOnOff,.1.3.6.1.4.1.476.1.42.3.7.4.2,
st_sys_onOffCtrl,lgpSysControlOperationOnOff,.1.3.6.1.4.1.476.1.42.3.7.4.2,
st_sys_onOffCtrl,lgpSysControlOperationOnOff,.1.3.6.1.4.1.476.1.42.3.7.4.2,
st_sys_onOffCtrl,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.5143
val_sys_tm_autoRestart,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4710
evt_ext_inpContact01,lgpConditionInputContact01,.1.3.6.1.4.1.476.1.42.3.2.1.218.1
st_ext_inpContactEnable01,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4718
st_ext_inpContactType01,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4719
evt_sys_condensDetect,lgpConditionCondensationDetected,.1.3.6.1.4.1.476.1.42.3.2.1.234
st_sys_condensDetectEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4712
st_sys_condensDetectType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4713
