Programmatic Name,Velocity Register
evt_sys_serviceReq,4726
st_sys_serviceReqEnable,4727
st_sys_serviceReqType,4728
evt_fan_issue,4729
st_fan_issueEnable,4730
st_fan_issueType,4731
evt_rcp_loadDropped,4732
val_aux_tmp_snsrOffset,4733
val_aux_hmd_snsrOffset,4734
st_inp_qualification,4735
st_sbs_opState,4736
st_byp_qualification,4737
val_byp_tm_reXfrRemain,4738
val_bat_ah_dischargeConsumed,4739
evt_bat_autoTestInhibit,4740
evt_bat_selfTest,4741
evt_bat_lowShutdown,4742
st_dcb_qualification,4743
st_out_qualification,4744
st_inv_qualification,4745
st_inv_opState,4746
evt_sys_equipTempSensorFailed,4747
st_rct_opState,4748
evt_sys_fanFailureRedundant,4749
evt_sys_fanMultiple,4750
st_sys_upsConfigDescription,4751
st_sys_outputSource,4752
evt_sys_mainControllerFault,4753
evt_sys_breakerCloseFail,4754
evt_sys_inpFilterCycleLock,4755
evt_sys_serviceCodeActive,4756
evt_sys_lbsActive,4757
evt_sys_lbsInhibit,4758
evt_sys_leadingPF,4759
evt_sys_contResetReq,4760
str_sys_orderLine1,4761
str_sys_orderLine2,4762
str_sys_servicePhoneNumber,4763
st_sbs_backfeedBrkr,4764
st_sbs_loadDisconnect,4765
st_inp_brkr,4766
st_inp_trapFilterBrkr,4767
st_inv_outBrkr,4768
st_byp_intBrkr,4769
st_mbs_inpBrkr,4770
st_mbs_rctBrkr,4771
st_mbs_bypBrkr,4772
st_mbs_modIsoBrkr,4773
st_inv_outStaticSw,4774
st_mbs_outBrkr,4775
val_pem_ecUtlztnRating_LN,4776
val_pem_ecUtlztnRating_LL,4777
val_pem_ecUtlztnRating_L1,4778
val_pem_ecUtlztnRating_L2,4779
val_pem_ecUtlztnRating_L3,4780
val_rem_ecUtlztnRating_LN,4781
val_rem_ecUtlztnRating_LL,4782
val_rcp_ecUtlztnRating,4783
str_ext_inpContact01,4784
str_ext_inpContact02,4785
str_ext_inpContact03,4786
str_ext_inpContact04,4787
str_ext_inpContact05,4788
str_ext_inpContact06,4789
str_ext_inpContact07,4790
str_ext_inpContact08,4791
str_ext_inpContact09,4792
str_ext_inpContact10,4793
str_ext_inpContact11,4794
str_ext_inpContact12,4795
str_ext_inpContact13,4796
str_ext_inpContact14,4797
str_ext_inpContact15,4798
str_ext_inpContact16,4799
val_sys_na_ratedModuleCount,4800
val_mms_ep_outRmsPhsAB,4801
val_mms_ep_outRmsPhsBC,4802
val_mms_ep_outRmsPhsCA,4803
val_mms_ep_outRmsPhsAN,4804
val_mms_ep_outRmsPhsBN,4805
val_mms_ep_outRmsPhsCN,4806
val_mms_ec_outRmsPhsA,4807
val_mms_ec_outRmsPhsB,4808
val_mms_ec_outRmsPhsC,4809
val_mms_freq_out,4810
val_mms_pwr_out,4811
val_mms_ap_out,4812
val_mms_na_outPwrFactPhsA,4813
val_mms_na_outPwrFactPhsB,4814
val_mms_na_outPwrFactPhsC,4815
val_mms_pct_outPwrPhsAN,4816
val_mms_pct_outPwrPhsBN,4817
val_mms_pct_outPwrPhsCN,4818
val_mms_pct_outVaPhsA,4819
val_mms_pct_outVaPhsB,4820
val_mms_pct_outVaPhsC,4821
val_mms_na_redundModules,4822
evt_mms_parCommWarn,4823
evt_mms_sysCommFail,4824
evt_mms_lossRedundancy,4825
evt_mms_bpssStartInhibit,4826
evt_mms_xfer_inhibit,4827
evt_mms_rexfer_inhibit,4828
val_mms_na_moduleNumber,4829
evt_mms_syncLoss,4830
evt_mms_systemOverload,4831
str_mms_scc_monitoringAccessURL,4832
val_mms_na_numberOfModules,4833
evt_mms_onBatt,4834
evt_mms_lowBatt,4835
st_mms_modOutBrkr1,4836
st_mms_modOutBrkr2,4837
st_mms_modOutBrkr3,4838
st_mms_modOutBrkr4,4839
st_mms_modOutBrkr5,4840
st_mms_modOutBrkr6,4841
st_mms_modOutBrkr7,4842
st_mms_modOutBrkr8,4843
st_mms_inpBrkr1,4844
st_mms_inpBrkr2,4845
st_mms_inpBrkr3,4846
st_mms_inpBrkr4,4847
st_mms_inpBrkr5,4848
st_mms_inpBrkr6,4849
st_mms_inpBrkr7,4850
st_mms_inpBrkr8,4851
st_mms_sysOutBrkr,4852
st_mms_loadBankBrkr,4853
st_mms_isoOutBreaker,4854
st_mms_scc_eventSummary,4855
st_mms_commsSummary,4856
st_mms_eventSummary,4857
st_mms_inv_opState,4858
st_mms_out_qualification,4859
st_mms_sys_outputSource,4860
val_mms_pwr_mod,4861
val_mms_ap_mod,4862
